star,evaluation,评价关键词,评论类型
star5,卖给小孩子穿，纯棉的面料穿起来很舒服。白色的体恤看起来比较清爽，也比较有活力。红色的标志看起来比较醒目，总之总体来说都还不错。乘着六一八的活动价入手，价格非常便宜，推荐大家来购买，感觉还是很不错的呀。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,缩水，,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服上身效果很好，面料也是我喜欢的，很满意。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,上身效果：很不错，面料很舒服很好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,买了黑色和白色，面料都不错。吸汗都效果满意。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,纯棉线穿起来很舒服 非常不错?,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,一直在京东商城上购买商品，是京东商城的铁杆粉丝，吃穿又都在京东上购买，尤其是京东自营店的商品货真价实，物美价廉，售后无可挑剔，这款耐克的T恤是纯棉的，穿着特别舒服。颜色越洗越白，吸汗效果特别好，是夏天必备的短袖T恤。京东快递小哥服务态度很好。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,上身效果：不错的衣服，质量很好，手感不错，穿上体型也很好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star4,目前看东西还不错,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,对于我有选择症的客户有点难，产品不错，但还是很纠结,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"不错，挺好的
舒适程度：好","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,很好，满意。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,正品哦 大小正好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,还好吧,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"面料材质：柔软
上身效果：好看
吸汗效果：纯棉","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,面料材质：好好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服收到穿了几次，感觉质量还可以。京东自营店也不是我第一次购物了已经购了很多次。质量信誉还是比较可靠。希望京东更加努力，以更好的服务来回报社会，回报客户。物流也算比较快，服务态度也比较好，希望他们生意兴隆。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,是纯棉的，不错，就是领口，领子有点紧！洗了穿上好看,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,质量很好，物流很快，京东品质,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,短袖很好，上身效果很好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,面料是那种很细腻的棉，和实体店的一样，上身效果不错显瘦，穿上软软的绵绵的很舒服，吸汗效果很好，我属于微胖体型，穿着显瘦，总之，这次购物很愉快，还会再来的,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
